dt,Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.0107983,0,0,0,-0.3478174,1.42047,0.06853721,0.2013883,1.420513,0.1239427,0.1347072,1.41955,-0.05490591,0,0,0,-0.2549177,1.397189,-0.02052537,-0.2209923,0.4757276,0.02995875,0.06271875,0.4997964,0.08650915,-0.247294,0.05000389,-0.03479456,0.1345983,0.04607856,0.02220094
0.0113056,0,0,0,-0.3479534,1.416691,0.07020272,0.2017459,1.416303,0.1267441,0.1352763,1.418605,-0.05238526,0,0,0,-0.2546282,1.3937,-0.01882842,-0.2256539,0.4744017,0.03530077,0.0654341,0.4987936,0.09161156,-0.2473397,0.04999459,-0.03478613,0.1346534,0.04618239,0.02195137
0.0108863,0,0,0,-0.3482587,1.41251,0.07172746,0.2008314,1.412624,0.1274316,0.1342621,1.4146,-0.05099575,0,0,0,-0.2544364,1.389932,-0.01710024,-0.2303009,0.4726565,0.04108704,0.06830531,0.4977148,0.09658897,-0.2474079,0.05007601,-0.03485718,0.1347561,0.04625702,0.02197127
0.0111914,0,0,0,-0.3481402,1.407591,0.07320963,0.2006965,1.407684,0.129403,0.134007,1.410385,-0.04872303,0,0,0,-0.2540832,1.385449,-0.01548374,-0.2326747,0.4738712,0.04491016,0.07189023,0.4964131,0.1015021,-0.247409,0.05004835,-0.03478178,0.1351165,0.04624844,0.02164601
0.0112534,0,0,0,-0.3484407,1.402395,0.07476144,0.200541,1.402441,0.1314615,0.1341293,1.406845,-0.04604046,0,0,0,-0.2540592,1.380833,-0.01373825,-0.2375988,0.472139,0.05131884,0.07499993,0.495398,0.1061412,-0.2475581,0.05002403,-0.03467988,0.1353884,0.04606009,0.02178929
0.011197,0,0,0,-0.3482234,1.396462,0.07637339,0.2011744,1.396574,0.1347234,0.1338798,1.40227,-0.04379223,0,0,0,-0.2555596,1.376486,-0.01191138,-0.2418978,0.4717412,0.05509584,0.07818574,0.494491,0.1104328,-0.2476433,0.0499028,-0.03461817,0.1356135,0.04601145,0.021714
0.0124033,0,0,0,-0.3482274,1.390776,0.07817649,0.2009251,1.390679,0.1364322,0.1337405,1.395866,-0.0417558,0,0,0,-0.2552382,1.370661,-0.01022311,-0.2490733,0.4687865,0.0622374,0.08102578,0.4936258,0.1146501,-0.2476272,0.04988706,-0.03467441,0.1357732,0.0459553,0.02184664
0.0109331,0,0,0,-0.3480236,1.383687,0.07982429,0.200651,1.383684,0.1382672,0.1335095,1.388911,-0.03930254,0,0,0,-0.25581,1.364637,-0.008596614,-0.2541315,0.4667282,0.06671598,0.08409268,0.4926351,0.1186552,-0.2478211,0.04987311,-0.03485084,0.1360328,0.04595447,0.02169295
0.0099629,0,0,0,-0.3481334,1.377029,0.08152461,0.2017257,1.376104,0.140307,0.1332753,1.38252,-0.03687256,0,0,0,-0.2558096,1.357741,-0.00682795,-0.260505,0.4634655,0.07183784,0.08723468,0.4915045,0.1229256,-0.2478862,0.04980481,-0.03501668,0.1364478,0.04608941,0.02173652
0.0108061,0,0,0,-0.347643,1.369091,0.08326087,0.2014695,1.36808,0.1421151,0.1348063,1.375967,-0.03320984,0,0,0,-0.2559681,1.350573,-0.004987516,-0.2652923,0.4613922,0.07598025,0.0901112,0.4902757,0.1271633,-0.2479947,0.04976773,-0.03505644,0.1367074,0.04605615,0.02179693
0.0137866,0,0,0,-0.347312,1.36072,0.08498192,0.2019919,1.358872,0.1451178,0.1348819,1.367692,-0.03026904,0,0,0,-0.2566604,1.343028,-0.002555229,-0.2702423,0.4589599,0.0800121,0.09311026,0.4886281,0.1307379,-0.2481173,0.04965734,-0.03513245,0.1366423,0.04562855,0.02138241
0.0085467,0,0,0,-0.3470505,1.351877,0.08694907,0.202069,1.34755,0.1493765,0.1349621,1.359192,-0.02781296,0,0,0,-0.2568805,1.335118,-0.0003993809,-0.2745551,0.4569651,0.08368388,0.09587127,0.4871753,0.1345281,-0.2481589,0.04963863,-0.03530211,0.1364813,0.0456121,0.02158213
0.0109403,0,0,0,-0.3464981,1.34252,0.08864665,0.2025593,1.339158,0.1508178,0.134787,1.350974,-0.02528977,0,0,0,-0.2567264,1.326982,0.001495466,-0.2786281,0.4551979,0.08683548,0.09963089,0.4851053,0.1380807,-0.2482552,0.04959261,-0.03539384,0.1363297,0.04554105,0.02164255
