dt,Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.3333333,0,0,0,-0.3270023,1.375135,0.1345732,0.2230173,1.378019,0.1594463,0.1667063,1.409799,-0.07658437,0.009977579,0.8783798,-0.001188412,-0.217718,1.404962,-0.06079959,-0.1499503,0.4985728,-0.04105289,0.07050711,0.5128773,-0.003007121,-0.2018859,0.05151021,-0.0720903,0.1492444,0.04574776,-0.006891429
0.0722974,0,0,0,-0.3576624,1.418739,0.07774165,0.1807191,1.41759,0.1639968,0.1348848,1.419375,-0.04293197,-0.05119461,0.8950493,0.01531254,-0.2542,1.406843,-0.05946257,-0.1768493,0.5096098,-0.02171259,0.05186915,0.5120836,0.00364133,-0.22597,0.05017853,-0.01454251,0.1473612,0.04626942,-0.005751491
0.0286043,0,0,0,-0.3696958,1.417924,0.08609641,0.1698943,1.422705,0.1586916,0.1234421,1.422331,-0.04850307,-0.05089313,0.894733,0.01465088,-0.2606471,1.401749,-0.05429601,-0.1794569,0.5075612,-0.03096756,0.04844892,0.5179636,0.02187701,-0.2257501,0.05092382,-0.01442334,0.1442161,0.05044043,-0.0007779226
0.0101451,0,0,0,-0.371817,1.417519,0.08840279,0.1677738,1.424374,0.1569385,0.1203145,1.423937,-0.05028804,-0.05168974,0.8957148,0.01647317,-0.2665822,1.402205,-0.05139145,-0.1801625,0.5065583,-0.03681308,0.04784185,0.5197537,0.02335584,-0.2258403,0.05125296,-0.01456693,0.1403224,0.05304229,0.006731719
0.0259388,0,0,0,-0.3724434,1.417789,0.08894572,0.1669819,1.424761,0.1561637,0.1170889,1.424923,-0.05171835,-0.05382562,0.8966735,0.01919147,-0.2678528,1.401874,-0.04851311,-0.1808867,0.5045236,-0.04260198,0.04629731,0.521813,0.02198616,-0.225902,0.05126119,-0.0147247,0.1360262,0.05599713,0.01843888
0.2509145,0,0,0,-0.3593414,1.420234,0.08828653,0.1811153,1.432335,0.1639501,0.1213576,1.420528,-0.05086247,-0.04887038,0.8913283,0.04381693,-0.2622921,1.403722,-0.05100008,-0.1785057,0.5028623,-0.02678765,0.0477159,0.5101813,0.02869397,-0.2256693,0.05115056,-0.01445815,0.1316765,0.0461235,0.03978587
0.0176382,0,0,0,-0.3589115,1.420146,0.0879573,0.1814716,1.431956,0.1634167,0.1227955,1.420026,-0.05064037,-0.0478667,0.8909327,0.04471713,-0.2622686,1.404806,-0.05102724,-0.177618,0.5028549,-0.02579855,0.04834557,0.5103285,0.0299914,-0.2255574,0.05141008,-0.01437615,0.1316028,0.04670513,0.03984465
0.0092419,0,0,0,-0.3584978,1.419633,0.08731136,0.1818363,1.431641,0.1626551,0.1241189,1.419828,-0.05013756,-0.04683805,0.890584,0.04555762,-0.2593831,1.404619,-0.05026612,-0.1771473,0.5026007,-0.02473061,0.04806495,0.5103291,0.03106299,-0.2252812,0.05160189,-0.01454159,0.1315308,0.04674399,0.03991395
0.004045,0,0,0,-0.3578485,1.419619,0.08684037,0.1825437,1.431716,0.1620128,0.1247632,1.419814,-0.04968274,-0.04647088,0.8904537,0.0457962,-0.2588627,1.404605,-0.05018495,-0.1770306,0.502606,-0.0243432,0.04792678,0.5101943,0.03157186,-0.2252603,0.05188715,-0.01441047,0.1315545,0.04692602,0.03987163
0.0091498,0,0,0,-0.3574995,1.41932,0.08668787,0.1831129,1.431491,0.1614557,0.1256087,1.419759,-0.04934712,-0.04584038,0.8902661,0.04625585,-0.2580177,1.404669,-0.05009568,-0.1769251,0.5027211,-0.02377284,0.04729277,0.510049,0.03199469,-0.225213,0.05194879,-0.01434265,0.131586,0.04674184,0.04007422
