dt,Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333,0,0,0,-0.3287998,1.431498,0.05761532,0.1709484,1.424086,0.1270295,0.1718704,1.363853,-0.08617917,0,0,0,0,0,0,-0.1857049,0.4838674,-0.04715571,0.03545135,0.4789668,0.008051813,-0.2364011,0.04991674,-0.05171771,0.1126506,0.04254901,0.0002028197
0.0649883,0,0,0,-0.3292627,1.433364,0.063498,0.1728173,1.427515,0.1257212,0.1714106,1.365081,-0.08567709,0,0,0,-0.2486548,1.402955,-0.08762649,-0.1860771,0.4827503,-0.04604442,0.03530753,0.4789382,0.008509204,-0.236409,0.04955065,-0.05176792,0.1128114,0.04226267,0.0002056435
0.0203688,0,0,0,-0.3289932,1.433752,0.06333356,0.1726223,1.427978,0.1259158,0.170814,1.365616,-0.08585494,0,0,0,-0.2492294,1.403487,-0.08926156,-0.1859617,0.4825801,-0.04555672,0.0354653,0.4786035,0.008915812,-0.2361733,0.04929101,-0.05168926,0.1128337,0.04207218,0.0002611056
0.0482862,0,0,0,-0.3293662,1.43373,0.06311484,0.1716902,1.428191,0.1263031,0.1608186,1.35895,-0.09063441,0,0,0,-0.2511157,1.403002,-0.08770009,-0.1854058,0.482694,-0.04493415,0.03558362,0.4790306,0.009459957,-0.2360247,0.0495857,-0.05154908,0.1131523,0.04261327,0.0003252253
0.288062,0,0,0,-0.3301079,1.429532,0.06706572,0.1710674,1.426568,0.1322127,0.1633753,1.359321,-0.08538771,0,0,0,-0.2468678,1.401284,-0.08429575,-0.1839011,0.4826076,-0.0422196,0.03635526,0.4793955,0.01321257,-0.2361305,0.04929554,-0.05158645,0.1131229,0.0426358,0.0001764074
0.017083,0,0,0,-0.3302656,1.429674,0.06723442,0.1711423,1.426485,0.1326638,0.1587968,1.356452,-0.08794881,0,0,0,-0.2463958,1.401259,-0.08412657,-0.1835957,0.4832319,-0.04163823,0.03644001,0.4795517,0.01352479,-0.2359597,0.04934013,-0.05161273,0.1131497,0.0423733,0.0003111959
0.007602,0,0,0,-0.3301617,1.429599,0.0674073,0.17125,1.426389,0.1330302,0.1590068,1.356428,-0.0875474,0,0,0,-0.2462418,1.40133,-0.08379231,-0.1831548,0.4844207,-0.04083664,0.03648031,0.4795512,0.01383972,-0.235954,0.04934871,-0.05162232,0.1132259,0.04234481,0.0003146976
0.0038737,0,0,0,-0.3299262,1.429483,0.06760253,0.1716288,1.426429,0.1333376,0.1601245,1.357046,-0.08666836,0,0,0,-0.2459825,1.401318,-0.08397789,-0.182918,0.4848678,-0.0407258,0.03659576,0.4797767,0.01368181,-0.2357889,0.04927182,-0.05145771,0.11337,0.04238629,0.0002547875
0.0094631,0,0,0,-0.3298038,1.429459,0.06785979,0.1717533,1.42637,0.133878,0.160173,1.357351,-0.08687312,0,0,0,-0.245851,1.401381,-0.08372428,-0.1824914,0.4852909,-0.04006055,0.03664851,0.4797946,0.01390012,-0.2357497,0.04927111,-0.05141236,0.1133969,0.04237401,0.000265941
0.0109112,0,0,0,-0.3297831,1.429471,0.0681413,0.1721595,1.426527,0.1342416,0.1608254,1.357813,-0.08622959,0,0,0,-0.2463569,1.401379,-0.08425494,-0.1819694,0.4858577,-0.03942906,0.03677946,0.4798695,0.01401953,-0.235682,0.0492996,-0.05132607,0.1133202,0.04246688,8.277595E-05
0.0111572,0,0,0,-0.3297349,1.42952,0.06851925,0.1723767,1.426478,0.1349659,0.1611237,1.35796,-0.08575986,0,0,0,-0.2462745,1.401472,-0.08395877,-0.181813,0.4858919,-0.03845455,0.03686976,0.4799757,0.01423248,-0.2356326,0.04930258,-0.05130472,0.1133721,0.04246211,4.501641E-05
0.011548,0,0,0,-0.3296227,1.429395,0.06890503,0.1724791,1.426257,0.1354938,0.1629992,1.359605,-0.08434176,0,0,0,-0.2457174,1.401789,-0.08299899,-0.1817511,0.4858761,-0.03722886,0.03699452,0.4800146,0.01447364,-0.2354611,0.04961157,-0.05142348,0.113645,0.0430789,0.0002223253
0.0105623,0,0,0,-0.3295415,1.429343,0.06927621,0.1726645,1.426185,0.1362797,0.1633261,1.359881,-0.08375229,0,0,0,-0.2455894,1.401906,-0.08254811,-0.1819745,0.4861296,-0.0358611,0.03699589,0.4801239,0.01461646,-0.2354587,0.04965937,-0.05143441,0.1136948,0.04314339,0.0002288222
0.0110608,0,0,0,-0.329488,1.429288,0.06959794,0.17288,1.426166,0.1369349,0.1634577,1.360172,-0.08312366,0,0,0,-0.2459824,1.401818,-0.08269142,-0.182261,0.486546,-0.03447987,0.03703004,0.4803067,0.01485678,-0.2354141,0.04993951,-0.05143723,0.113857,0.04320383,0.000287056
0.0114858,0,0,0,-0.3295392,1.42929,0.07006675,0.173211,1.426127,0.1377581,0.1637793,1.360481,-0.08236562,0,0,0,-0.2459424,1.401977,-0.08222325,-0.1824501,0.4871703,-0.0327398,0.03691679,0.4804033,0.01499504,-0.2353715,0.05000889,-0.05148755,0.1138607,0.04327583,0.0003320426
0.0109799,0,0,0,-0.3294547,1.429207,0.07057001,0.1733729,1.426093,0.1386378,0.1647729,1.361499,-0.08075721,0,0,0,-0.2463668,1.402039,-0.08174046,-0.1828471,0.4876004,-0.03106613,0.03648025,0.4808612,0.01516454,-0.2353537,0.05003154,-0.0513056,0.1139813,0.04362273,0.0007174909
0.0109392,0,0,0,-0.3296902,1.429137,0.07120594,0.1738086,1.425996,0.1394262,0.1654834,1.362316,-0.07934935,0,0,0,-0.24547,1.402449,-0.08046952,-0.1831546,0.4876111,-0.02896511,0.03610587,0.4807421,0.01534142,-0.2352476,0.05005705,-0.05126721,0.1140038,0.04370201,0.0007821769
0.0112419,0,0,0,-0.3297687,1.429074,0.07192082,0.1740233,1.425894,0.1404077,0.1657924,1.362614,-0.07838387,0,0,0,-0.2454379,1.402643,-0.07971538,-0.1831267,0.4876655,-0.02669427,0.03588176,0.4807907,0.01549269,-0.2352511,0.05007279,-0.05124953,0.1137185,0.04333746,0.0002300292
0.0111359,0,0,0,-0.3297195,1.429077,0.07244838,0.1741506,1.425667,0.1412927,0.1661153,1.363001,-0.0772714,0,0,0,-0.2453972,1.402714,-0.07977348,-0.1833076,0.4876705,-0.02441672,0.03564256,0.4809475,0.01548178,-0.2351848,0.05030763,-0.05129674,0.1136752,0.04343593,0.0002419353
0.0113645,0,0,0,-0.3297913,1.428941,0.07329616,0.1742843,1.425285,0.1423542,0.1663875,1.363264,-0.07606973,0,0,0,-0.2453921,1.402855,-0.07893088,-0.1832459,0.4879133,-0.02198871,0.03532904,0.4809895,0.01573061,-0.2351078,0.05038941,-0.05122058,0.1135134,0.04323339,0.0001306385
