Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.0110272,0,0,0,-0.3072165,1.409826,0.1567958,0.1449068,1.385375,0.1797337,0.1397985,1.417207,-0.04164124,0,0,0,-0.2455489,1.396985,-0.001954243,-0.2050298,0.5153073,0.01489006,0.05362225,0.4921455,0.05568077,-0.2875799,0.0517782,-0.01486607,0.1497641,0.04815412,0.03807414
0.0111735,0,0,0,-0.3099584,1.410123,0.15769,0.1436005,1.385981,0.1776207,0.1373362,1.417516,-0.04356121,0,0,0,-0.2475917,1.396943,-0.001294404,-0.2060484,0.5150023,0.01466283,0.05326021,0.491941,0.05636813,-0.2875865,0.05177212,-0.0148678,0.1521671,0.04869592,0.03798378
0.0112996,0,0,0,-0.3123152,1.410523,0.1587533,0.1421352,1.386158,0.1758192,0.134751,1.417844,-0.04643363,0,0,0,-0.2493089,1.396783,-0.0007512495,-0.206556,0.514186,0.01451762,0.05346215,0.4920737,0.0573232,-0.2876909,0.05146468,-0.01492956,0.1550009,0.04905522,0.03792503
0.0125597,0,0,0,-0.3145928,1.410869,0.1596731,0.140917,1.386599,0.1738254,0.1328825,1.417963,-0.04792077,0,0,0,-0.2510085,1.396619,-0.0003009588,-0.2072526,0.5141315,0.01400574,0.05352938,0.4925431,0.05821243,-0.2877381,0.0514698,-0.01517388,0.1574782,0.0498929,0.03828106
0.0107186,0,0,0,-0.3166447,1.41106,0.160419,0.1400072,1.387363,0.1715223,0.130473,1.41825,-0.04994129,0,0,0,-0.2529788,1.395911,-0.0004160851,-0.2078672,0.5135431,0.01384465,0.05325627,0.4936403,0.05921423,-0.2879321,0.05117714,-0.01527284,0.1595944,0.05045462,0.03887209
0.0097485,0,0,0,-0.3182592,1.41107,0.1609809,0.1389526,1.387616,0.1697019,0.1295575,1.418514,-0.0501982,0,0,0,-0.2543224,1.395727,-0.0002999231,-0.2085779,0.5133572,0.01350171,0.05305481,0.4947045,0.06002672,-0.2878958,0.05106199,-0.01525176,0.161711,0.05102968,0.03944758
0.011271,0,0,0,-0.320356,1.411085,0.1612794,0.1379696,1.387788,0.1679641,0.1280385,1.418529,-0.05143902,0,0,0,-0.2557511,1.395606,-0.0001875497,-0.2099854,0.5133505,0.01277764,0.0527246,0.4949367,0.06025659,-0.2881368,0.05085874,-0.01534498,0.1642786,0.05114615,0.04033288
0.011178,0,0,0,-0.3215187,1.411281,0.1609721,0.1370711,1.387879,0.1670514,0.1265098,1.418677,-0.05244107,0,0,0,-0.2575292,1.395264,-0.0007597581,-0.2104863,0.5132445,0.0124925,0.05277687,0.4951303,0.0606347,-0.2881925,0.05066776,-0.0151389,0.1668687,0.051283,0.04128888
0.0128383,0,0,0,-0.322576,1.411342,0.1607809,0.1364411,1.38787,0.1661032,0.1259333,1.419443,-0.05180038,0,0,0,-0.2587057,1.395181,-0.0009078197,-0.2109243,0.5131063,0.01198892,0.05298132,0.4954866,0.06054024,-0.2883455,0.05047929,-0.0153157,0.1688691,0.05152202,0.04220784
0.009155,0,0,0,-0.3234643,1.411569,0.1607229,0.1358808,1.387709,0.1655029,0.1251989,1.41955,-0.05192342,0,0,0,-0.2594844,1.395103,-0.001281548,-0.2114646,0.5133458,0.01142902,0.05309558,0.4952499,0.06061637,-0.2884403,0.05040169,-0.01516685,0.1710026,0.05152094,0.04326061
0.0112538,0,0,0,-0.3243737,1.411797,0.1606024,0.1356371,1.387819,0.165307,0.1249546,1.420622,-0.0534071,0,0,0,-0.2599864,1.39498,-0.001790557,-0.2116269,0.5132251,0.01107105,0.05344445,0.4949416,0.06011814,-0.2885218,0.05023849,-0.01539188,0.1732621,0.05204475,0.04428601
0.0110011,0,0,0,-0.3247698,1.412173,0.1603156,0.1354025,1.387966,0.1649852,0.1236275,1.420517,-0.05491193,0,0,0,-0.2597511,1.394629,-0.001314763,-0.2148999,0.5114253,0.008479171,0.05374265,0.494733,0.06008346,-0.2884556,0.05005813,-0.01552037,0.175989,0.05240309,0.04578225
0.0114273,0,0,0,-0.3252631,1.412483,0.1599891,0.135488,1.388152,0.1652172,0.1234459,1.420672,-0.05503128,0,0,0,-0.2597625,1.394409,-0.001961805,-0.2153494,0.5111387,0.007753432,0.05481607,0.4944654,0.05988131,-0.2885673,0.05013812,-0.01561629,0.1786795,0.05300951,0.04735418
0.0109334,0,0,0,-0.3250466,1.413082,0.1595281,0.1352432,1.388697,0.1653768,0.1241603,1.420637,-0.05411549,0,0,0,-0.259394,1.393986,-0.002517473,-0.2134087,0.512385,0.01007456,0.05579203,0.4939796,0.05989993,-0.2885891,0.0501157,-0.01556314,0.1808203,0.05430472,0.04862137
